# LAr EM cells with |barrel-endcap|=1 and sampling=1
# Source: C:\Users\chrys\Documents\GitHub\cgv-web\JiveXML_516761_840521342.xml
# Total LAr IDs: 27694 | Filtered: 2038
#
# id	barrel-endcap	sampling	region	eta	phi	cell_name	full_id	physical_eta	physical_phi	debug
3251601233063968768	-1	1	0	1	12	EMBC s=1 r=0 η=1 φ=12	4/1/-1/1/0/1/12	-0.007813	1.227185	
3251601550891548672	-1	1	0	1	49	EMBC s=1 r=0 η=1 φ=49	4/1/-1/1/0/1/49	-0.007813	4.859651	
3251603749914804224	-1	1	0	2	49	EMBC s=1 r=0 η=2 φ=49	4/1/-1/1/0/2/49	-0.010938	4.859651	
3251605948938059776	-1	1	0	3	49	EMBC s=1 r=0 η=3 φ=49	4/1/-1/1/0/3/49	-0.014063	4.859651	
3251610192365748224	-1	1	0	5	31	EMBC s=1 r=0 η=5 φ=31	4/1/-1/1/0/5/31	-0.020313	3.092505	
3251610295444963328	-1	1	0	5	43	EMBC s=1 r=0 η=5 φ=43	4/1/-1/1/0/5/43	-0.020313	4.270603	
3251612228180246528	-1	1	0	6	12	EMBC s=1 r=0 η=6 φ=12	4/1/-1/1/0/6/12	-0.023438	1.227185	
3251612485878284288	-1	1	0	6	42	EMBC s=1 r=0 η=6 φ=42	4/1/-1/1/0/6/42	-0.023438	4.172428	
3251612528827957248	-1	1	0	6	47	EMBC s=1 r=0 η=6 φ=47	4/1/-1/1/0/6/47	-0.023438	4.663302	
3251614427203502080	-1	1	0	7	12	EMBC s=1 r=0 η=7 φ=12	4/1/-1/1/0/7/12	-0.026563	1.227185	
3251616626226757632	-1	1	0	8	12	EMBC s=1 r=0 η=8 φ=12	4/1/-1/1/0/8/12	-0.029688	1.227185	
3251616866744926208	-1	1	0	8	40	EMBC s=1 r=0 η=8 φ=40	4/1/-1/1/0/8/40	-0.029688	3.976078	
3251618825250013184	-1	1	0	9	12	EMBC s=1 r=0 η=9 φ=12	4/1/-1/1/0/9/12	-0.032813	1.227185	
3251618851019816960	-1	1	0	9	15	EMBC s=1 r=0 η=9 φ=15	4/1/-1/1/0/9/15	-0.032813	1.521709	
3251619022818508800	-1	1	0	9	35	EMBC s=1 r=0 η=9 φ=35	4/1/-1/1/0/9/35	-0.032813	3.485204	
3251619194617200640	-1	1	0	9	55	EMBC s=1 r=0 η=9 φ=55	4/1/-1/1/0/9/55	-0.032813	5.448700	
3251621058633007104	-1	1	0	10	16	EMBC s=1 r=0 η=10 φ=16	4/1/-1/1/0/10/16	-0.035938	1.619884	
3251621221841764352	-1	1	0	10	35	EMBC s=1 r=0 η=10 φ=35	4/1/-1/1/0/10/35	-0.035938	3.485204	
3251621385050521600	-1	1	0	10	54	EMBC s=1 r=0 η=10 φ=54	4/1/-1/1/0/10/54	-0.035938	5.350525	
3251621453769998336	-1	1	0	10	62	EMBC s=1 r=0 η=10 φ=62	4/1/-1/1/0/10/62	-0.035938	6.135923	
3251623274836131840	-1	1	0	11	18	EMBC s=1 r=0 η=11 φ=18	4/1/-1/1/0/11/18	-0.039063	1.816233	
3251623420865019904	-1	1	0	11	35	EMBC s=1 r=0 η=11 φ=35	4/1/-1/1/0/11/35	-0.039063	3.485204	
3251623618433515520	-1	1	0	11	58	EMBC s=1 r=0 η=11 φ=58	4/1/-1/1/0/11/58	-0.039063	5.743224	
3251623652793253888	-1	1	0	11	62	EMBC s=1 r=0 η=11 φ=62	4/1/-1/1/0/11/62	-0.039063	6.135923	
3251625387960041472	-1	1	0	12	8	EMBC s=1 r=0 η=12 φ=8	4/1/-1/1/0/12/8	-0.042188	0.834486	
3251625473859387392	-1	1	0	12	18	EMBC s=1 r=0 η=12 φ=18	4/1/-1/1/0/12/18	-0.042188	1.816233	
3251625585528537088	-1	1	0	12	31	EMBC s=1 r=0 η=12 φ=31	4/1/-1/1/0/12/31	-0.042188	3.092505	
3251625851816509440	-1	1	0	12	62	EMBC s=1 r=0 η=12 φ=62	4/1/-1/1/0/12/62	-0.042188	6.135923	
3251627793141727232	-1	1	0	13	32	EMBC s=1 r=0 η=13 φ=32	4/1/-1/1/0/13/32	-0.045313	3.190680	
3251627896220942336	-1	1	0	13	44	EMBC s=1 r=0 η=13 φ=44	4/1/-1/1/0/13/44	-0.045313	4.368777	
3251627982120288256	-1	1	0	13	54	EMBC s=1 r=0 η=13 φ=54	4/1/-1/1/0/13/54	-0.045313	5.350525	
3251628050839764992	-1	1	0	13	62	EMBC s=1 r=0 η=13 φ=62	4/1/-1/1/0/13/62	-0.045313	6.135923	
3251630000754917376	-1	1	0	14	33	EMBC s=1 r=0 η=14 φ=33	4/1/-1/1/0/14/33	-0.048438	3.288855	
3251630043704590336	-1	1	0	14	38	EMBC s=1 r=0 η=14 φ=38	4/1/-1/1/0/14/38	-0.048438	3.779729	
3251630095244197888	-1	1	0	14	44	EMBC s=1 r=0 η=14 φ=44	4/1/-1/1/0/14/44	-0.048438	4.368777	
3251630215503282176	-1	1	0	14	58	EMBC s=1 r=0 η=14 φ=58	4/1/-1/1/0/14/58	-0.048438	5.743224	
3251630249863020544	-1	1	0	14	62	EMBC s=1 r=0 η=14 φ=62	4/1/-1/1/0/14/62	-0.048438	6.135923	
3251631942080135168	-1	1	0	15	3	EMBC s=1 r=0 η=15 φ=3	4/1/-1/1/0/15/3	-0.051563	0.343612	
3251632311447322624	-1	1	0	15	46	EMBC s=1 r=0 η=15 φ=46	4/1/-1/1/0/15/46	-0.051563	4.565127	
3251632414526537728	-1	1	0	15	58	EMBC s=1 r=0 η=15 φ=58	4/1/-1/1/0/15/58	-0.051563	5.743224	
3251632457476210688	-1	1	0	15	63	EMBC s=1 r=0 η=15 φ=63	4/1/-1/1/0/15/63	-0.051563	6.234098	
3251634123923521536	-1	1	0	16	1	EMBC s=1 r=0 η=16 φ=1	4/1/-1/1/0/16/1	-0.054688	0.147262	
3251634510470578176	-1	1	0	16	46	EMBC s=1 r=0 η=16 φ=46	4/1/-1/1/0/16/46	-0.054688	4.565127	
3251634544830316544	-1	1	0	16	50	EMBC s=1 r=0 η=16 φ=50	4/1/-1/1/0/16/50	-0.054688	4.957826	
3251636322946777088	-1	1	0	17	1	EMBC s=1 r=0 η=17 φ=1	4/1/-1/1/0/17/1	-0.057813	0.147262	
3251636803983114240	-1	1	0	17	57	EMBC s=1 r=0 η=17 φ=57	4/1/-1/1/0/17/57	-0.057813	5.645049	
3251636855522721792	-1	1	0	17	63	EMBC s=1 r=0 η=17 φ=63	4/1/-1/1/0/17/63	-0.057813	6.234098	
3251638521970032640	-1	1	0	18	1	EMBC s=1 r=0 η=18 φ=1	4/1/-1/1/0/18/1	-0.060938	0.147262	
3251638771078135808	-1	1	0	18	30	EMBC s=1 r=0 η=18 φ=30	4/1/-1/1/0/18/30	-0.060938	2.994330	
3251639003006369792	-1	1	0	18	57	EMBC s=1 r=0 η=18 φ=57	4/1/-1/1/0/18/57	-0.060938	5.645049	
3251639028776173568	-1	1	0	18	60	EMBC s=1 r=0 η=18 φ=60	4/1/-1/1/0/18/60	-0.060938	5.939574	
3251639054545977344	-1	1	0	18	63	EMBC s=1 r=0 η=18 φ=63	4/1/-1/1/0/18/63	-0.060938	6.234098	
3251643083225300992	-1	1	0	20	20	EMBC s=1 r=0 η=20 φ=20	4/1/-1/1/0/20/20	-0.067187	2.012583	
3251643383873011712	-1	1	0	20	55	EMBC s=1 r=0 η=20 φ=55	4/1/-1/1/0/20/55	-0.067187	5.448700	
3251645419687510016	-1	1	0	21	36	EMBC s=1 r=0 η=21 φ=36	4/1/-1/1/0/21/36	-0.070313	3.583379	
3251645617256005632	-1	1	0	21	59	EMBC s=1 r=0 η=21 φ=59	4/1/-1/1/0/21/59	-0.070313	5.841399	
3251647335242924032	-1	1	0	22	3	EMBC s=1 r=0 η=22 φ=3	4/1/-1/1/0/22/3	-0.073438	0.343612	
3251647386782531584	-1	1	0	22	9	EMBC s=1 r=0 η=22 φ=9	4/1/-1/1/0/22/9	-0.073438	0.932660	
3251647438322139136	-1	1	0	22	15	EMBC s=1 r=0 η=22 φ=15	4/1/-1/1/0/22/15	-0.073438	1.521709	
3251647738969849856	-1	1	0	22	50	EMBC s=1 r=0 η=22 φ=50	4/1/-1/1/0/22/50	-0.073438	4.957826	
3251647781919522816	-1	1	0	22	55	EMBC s=1 r=0 η=22 φ=55	4/1/-1/1/0/22/55	-0.073438	5.448700	
3251647807689326592	-1	1	0	22	58	EMBC s=1 r=0 η=22 φ=58	4/1/-1/1/0/22/58	-0.073438	5.743224	
3251649860683694080	-1	1	0	23	41	EMBC s=1 r=0 η=23 φ=41	4/1/-1/1/0/23/41	-0.076563	4.074253	
3251649980942778368	-1	1	0	23	55	EMBC s=1 r=0 η=23 φ=55	4/1/-1/1/0/23/55	-0.076563	5.448700	
3251650006712582144	-1	1	0	23	58	EMBC s=1 r=0 η=23 φ=58	4/1/-1/1/0/23/58	-0.076563	5.743224	
3251651741879369728	-1	1	0	24	4	EMBC s=1 r=0 η=24 φ=4	4/1/-1/1/0/24/4	-0.079688	0.441786	
3251651784829042688	-1	1	0	24	9	EMBC s=1 r=0 η=24 φ=9	4/1/-1/1/0/24/9	-0.079688	0.932660	
3251651827778715648	-1	1	0	24	14	EMBC s=1 r=0 η=24 φ=14	4/1/-1/1/0/24/14	-0.079688	1.423534	
3251651939447865344	-1	1	0	24	27	EMBC s=1 r=0 η=24 φ=27	4/1/-1/1/0/24/27	-0.079688	2.699806	
3251652059706949632	-1	1	0	24	41	EMBC s=1 r=0 η=24 φ=41	4/1/-1/1/0/24/41	-0.079688	4.074253	
3251652085476753408	-1	1	0	24	44	EMBC s=1 r=0 η=24 φ=44	4/1/-1/1/0/24/44	-0.079688	4.368777	
3251652179966033920	-1	1	0	24	55	EMBC s=1 r=0 η=24 φ=55	4/1/-1/1/0/24/55	-0.079688	5.448700	
3251653940902625280	-1	1	0	25	4	EMBC s=1 r=0 η=25 φ=4	4/1/-1/1/0/25/4	-0.082812	0.441786	
3251654129881186304	-1	1	0	25	26	EMBC s=1 r=0 η=25 φ=26	4/1/-1/1/0/25/26	-0.082812	2.601631	
3251656294544703488	-1	1	0	26	22	EMBC s=1 r=0 η=26 φ=22	4/1/-1/1/0/26/22	-0.085938	2.208932	
3251656320314507264	-1	1	0	26	25	EMBC s=1 r=0 η=26 φ=25	4/1/-1/1/0/26/25	-0.085938	2.503457	
3251658321769267200	-1	1	0	27	2	EMBC s=1 r=0 η=27 φ=2	4/1/-1/1/0/27/2	-0.089063	0.245437	
3251658338949136384	-1	1	0	27	4	EMBC s=1 r=0 η=27 φ=4	4/1/-1/1/0/27/4	-0.089063	0.441786	
3251661036188598272	-1	1	0	28	62	EMBC s=1 r=0 η=28 φ=62	4/1/-1/1/0/28/62	-0.092188	6.135923	
3251663089182965760	-1	1	0	29	45	EMBC s=1 r=0 η=29 φ=45	4/1/-1/1/0/29/45	-0.095313	4.466952	
3251663114952769536	-1	1	0	29	48	EMBC s=1 r=0 η=29 φ=48	4/1/-1/1/0/29/48	-0.095313	4.761476	
3251663140722573312	-1	1	0	29	51	EMBC s=1 r=0 η=29 φ=51	4/1/-1/1/0/29/51	-0.095313	5.056001	
3251665124997464064	-1	1	0	30	26	EMBC s=1 r=0 η=30 φ=26	4/1/-1/1/0/30/26	-0.098437	2.601631	
3251665288206221312	-1	1	0	30	45	EMBC s=1 r=0 η=30 φ=45	4/1/-1/1/0/30/45	-0.098437	4.466952	
3251665339745828864	-1	1	0	30	51	EMBC s=1 r=0 η=30 φ=51	4/1/-1/1/0/30/51	-0.098437	5.056001	
3251667324020719616	-1	1	0	31	26	EMBC s=1 r=0 η=31 φ=26	4/1/-1/1/0/31/26	-0.101563	2.601631	
3251667487229476864	-1	1	0	31	45	EMBC s=1 r=0 η=31 φ=45	4/1/-1/1/0/31/45	-0.101563	4.466952	
3251667495819411456	-1	1	0	31	46	EMBC s=1 r=0 η=31 φ=46	4/1/-1/1/0/31/46	-0.101563	4.565127	
3251667538769084416	-1	1	0	31	51	EMBC s=1 r=0 η=31 φ=51	4/1/-1/1/0/31/51	-0.101563	5.056001	
3251669316885544960	-1	1	0	32	2	EMBC s=1 r=0 η=32 φ=2	4/1/-1/1/0/32/2	-0.104688	0.245437	
3251669694842667008	-1	1	0	32	46	EMBC s=1 r=0 η=32 φ=46	4/1/-1/1/0/32/46	-0.104688	4.565127	
3251671515908800512	-1	1	0	33	2	EMBC s=1 r=0 η=33 φ=2	4/1/-1/1/0/33/2	-0.107813	0.245437	
3251671670527623168	-1	1	0	33	20	EMBC s=1 r=0 η=33 φ=20	4/1/-1/1/0/33/20	-0.107813	2.012583	
3251671687707492352	-1	1	0	33	22	EMBC s=1 r=0 η=33 φ=22	4/1/-1/1/0/33/22	-0.107813	2.208932	
3251671893865922560	-1	1	0	33	46	EMBC s=1 r=0 η=33 φ=46	4/1/-1/1/0/33/46	-0.107813	4.565127	
3251672039894810624	-1	1	0	33	63	EMBC s=1 r=0 η=33 φ=63	4/1/-1/1/0/33/63	-0.107813	6.234098	
3251673714932056064	-1	1	0	34	2	EMBC s=1 r=0 η=34 φ=2	4/1/-1/1/0/34/2	-0.110938	0.245437	
3251673886730747904	-1	1	0	34	22	EMBC s=1 r=0 η=34 φ=22	4/1/-1/1/0/34/22	-0.110938	2.208932	
3251674230328131584	-1	1	0	34	62	EMBC s=1 r=0 η=34 φ=62	4/1/-1/1/0/34/62	-0.110938	6.135923	
3251675913955311616	-1	1	0	35	2	EMBC s=1 r=0 η=35 φ=2	4/1/-1/1/0/35/2	-0.114062	0.245437	
3251676017034526720	-1	1	0	35	14	EMBC s=1 r=0 η=35 φ=14	4/1/-1/1/0/35/14	-0.114062	1.423534	
3251676085754003456	-1	1	0	35	22	EMBC s=1 r=0 η=35 φ=22	4/1/-1/1/0/35/22	-0.114062	2.208932	
3251676094343938048	-1	1	0	35	23	EMBC s=1 r=0 η=35 φ=23	4/1/-1/1/0/35/23	-0.114062	2.307107	
3251676206013087744	-1	1	0	35	36	EMBC s=1 r=0 η=35 φ=36	4/1/-1/1/0/35/36	-0.114062	3.583379	
3251676334862106624	-1	1	0	35	51	EMBC s=1 r=0 η=35 φ=51	4/1/-1/1/0/35/51	-0.114062	5.056001	
3251676429351387136	-1	1	0	35	62	EMBC s=1 r=0 η=35 φ=62	4/1/-1/1/0/35/62	-0.114062	6.135923	
3251678112978567168	-1	1	0	36	2	EMBC s=1 r=0 η=36 φ=2	4/1/-1/1/0/36/2	-0.117188	0.245437	
3251678284777259008	-1	1	0	36	22	EMBC s=1 r=0 η=36 φ=22	4/1/-1/1/0/36/22	-0.117188	2.208932	
3251678533885362176	-1	1	0	36	51	EMBC s=1 r=0 η=36 φ=51	4/1/-1/1/0/36/51	-0.117188	5.056001	
3251678585424969728	-1	1	0	36	57	EMBC s=1 r=0 η=36 φ=57	4/1/-1/1/0/36/57	-0.117188	5.645049	
3251678628374642688	-1	1	0	36	62	EMBC s=1 r=0 η=36 φ=62	4/1/-1/1/0/36/62	-0.117188	6.135923	
3251680483800514560	-1	1	0	37	22	EMBC s=1 r=0 η=37 φ=22	4/1/-1/1/0/37/22	-0.120313	2.208932	
3251680732908617728	-1	1	0	37	51	EMBC s=1 r=0 η=37 φ=51	4/1/-1/1/0/37/51	-0.120313	5.056001	
3251680784448225280	-1	1	0	37	57	EMBC s=1 r=0 η=37 φ=57	4/1/-1/1/0/37/57	-0.120313	5.645049	
3251680827397898240	-1	1	0	37	62	EMBC s=1 r=0 η=37 φ=62	4/1/-1/1/0/37/62	-0.120313	6.135923	
3251682493845209088	-1	1	0	38	0	EMBC s=1 r=0 η=38 φ=0	4/1/-1/1/0/38/0	-0.123438	0.049087	
3251682931931873280	-1	1	0	38	51	EMBC s=1 r=0 η=38 φ=51	4/1/-1/1/0/38/51	-0.123438	5.056001	
3251683026421153792	-1	1	0	38	62	EMBC s=1 r=0 η=38 φ=62	4/1/-1/1/0/38/62	-0.123438	6.135923	
3251684692868464640	-1	1	0	39	0	EMBC s=1 r=0 η=39 φ=0	4/1/-1/1/0/39/0	-0.126562	0.049087	
3251685130955128832	-1	1	0	39	51	EMBC s=1 r=0 η=39 φ=51	4/1/-1/1/0/39/51	-0.126562	5.056001	
3251685191084670976	-1	1	0	39	58	EMBC s=1 r=0 η=39 φ=58	4/1/-1/1/0/39/58	-0.126562	5.743224	
3251685225444409344	-1	1	0	39	62	EMBC s=1 r=0 η=39 φ=62	4/1/-1/1/0/39/62	-0.126562	6.135923	
3251687080870281216	-1	1	0	40	22	EMBC s=1 r=0 η=40 φ=22	4/1/-1/1/0/40/22	-0.129687	2.208932	
3251687424467664896	-1	1	0	40	62	EMBC s=1 r=0 η=40 φ=62	4/1/-1/1/0/40/62	-0.129687	6.135923	
3251689537591574528	-1	1	0	41	52	EMBC s=1 r=0 η=41 φ=52	4/1/-1/1/0/41/52	-0.132813	5.154175	
3251691736614830080	-1	1	0	42	52	EMBC s=1 r=0 η=42 φ=52	4/1/-1/1/0/42/52	-0.135937	5.154175	
